baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MSTRG.204	205.59362803839	0.253897969187949	0.600921969331989	0.422514040334044	0.67264985471986	0.990580197718261
MSTRG.757	1068.60192602832	0.383728676167926	0.559223505131225	0.686181236387554	0.492598828508524	0.990580197718261
MSTRG.754	2690.20199349477	-0.0283216114771741	0.120717842020322	-0.23460998807787	0.814511456541926	0.990580197718261
MSTRG.200	33.4880261139521	-0.141204674590678	0.587300983738697	-0.240429828146691	0.809997056738594	0.990580197718261
MSTRG.201	7.3711626810927	-0.49018619306577	0.820113930324143	-0.597704995538886	0.550036791605486	0.990580197718261
MSTRG.203	118.530426502141	0.131565187029477	0.229953619707177	0.572137925887022	0.567228537066718	0.990580197718261
MSTRG.122	29.600690070339	-0.0742687503380636	0.395788915798399	-0.18764737306563	0.851153087484156	0.990580197718261
MSTRG.598	1.94085487078539	4.48894233296075	2.46144149946763	1.8237046600261	0.0681967339761269	0.990580197718261
MSTRG.599	7.69368114328115	0.461937955824408	0.556422681693715	0.830192533521995	0.406429936025563	0.990580197718261
MSTRG.594	1466.36017381776	0.00795588647154801	0.155118651975142	0.0512890382313467	0.959095202833483	0.990580197718261
MSTRG.125	2806.04645117129	-0.0721392405929686	0.204976199748155	-0.351939594360726	0.72488356441002	0.990580197718261
MSTRG.596	229.216769698752	0.283230799479263	0.244249451618123	1.15959646010623	0.246213142911582	0.990580197718261
MSTRG.597	71.0300904079909	-0.423951853622047	0.873306310000173	-0.485456075110648	0.627352863656857	0.990580197718261
MSTRG.590	1260.06456587391	-0.43816871009233	0.275344259352517	-1.59134863070217	0.111531138120845	0.990580197718261
MSTRG.591	7891.69745313393	-0.0370450830345936	0.122809726314495	-0.301646165546589	0.76292181122695	0.990580197718261
MSTRG.592	122.74240346781	0.953625750720606	0.657693856888686	1.44995386642634	0.147071384510204	0.990580197718261
MSTRG.593	187.507287174267	-0.0737262624142662	0.257141757678977	-0.286714468625155	0.774330958153315	0.990580197718261
MSTRG.127	71.7516055837665	-0.172872251889079	0.60655425309061	-0.285007072340576	0.775638723600572	0.990580197718261
MSTRG.126	10.6004621709089	-0.183497726899117	0.444617657820226	-0.412709040389285	0.679819800516945	0.990580197718261
NM_020871	0.493122955174664	-2.34875569349614	3.06009323517464	-0.767543833795017	0.442758241862543	0.990580197718261
MSTRG.118	18.473851193342	-0.105208174509819	0.580112785109406	-0.181358137952393	0.856086475032942	0.990580197718261
MSTRG.119	215.754024186789	0.135629823074687	0.172953736444178	0.784197126139929	0.432924451192404	0.990580197718261
MSTRG.551	16.3045683421096	-0.340712013898773	0.374163728348703	-0.910596052167958	0.36250825137963	0.990580197718261
MSTRG.110	285.484249748653	-0.0628382795644449	0.144092282279083	-0.436097468723116	0.662766013635715	0.990580197718261
MSTRG.111	92.4065892802539	-0.760561375895991	0.575714625379525	-1.32107357077234	0.186476834451391	0.990580197718261
MSTRG.112	1024.28393306133	-0.179291892781615	0.137890670717357	-1.30024672335608	0.193516421463423	0.990580197718261
NM_012216	10.2240162264431	-0.180469397949318	0.515063148727942	-0.350383051854953	0.726051243903539	0.990580197718261
MSTRG.114	655.60925260599	-0.301743626492109	0.219870228021974	-1.3723714629611	0.169947829141229	0.990580197718261
MSTRG.115	892.976522482015	-0.21523336343066	0.185750334509606	-1.15872396138016	0.246568720563364	0.990580197718261
MSTRG.116	970.689733772475	-0.162664378107596	0.255043781834243	-0.637790017610835	0.52361037852341	0.990580197718261
